CPU,NUMERO_ITERACION,LATENCIA
1,3347,27052
1,3348,30404
1,3349,31015
1,3350,28645
1,3351,32163
1,3352,30701
1,3353,30700
1,3354,26738
1,3355,27349
1,3356,30275
1,3357,31515
1,3358,28534
1,3359,27256
1,3360,30460
1,3361,32053
1,3362,26812
1,3363,28367
1,3364,30516
1,3365,27294
1,3366,31275
1,3367,28163
1,3368,26053
1,3369,28256
1,3370,30423
1,3371,30923
1,3372,31312
1,3373,32034
1,3374,27293
1,3375,28959
1,3376,30441
1,3377,25108
1,3378,30885
1,3379,28293
1,3380,26108
1,3381,28590
1,3382,31312
1,3383,31386
1,3384,30459
1,3385,27960
1,3386,25608
1,3387,30552
1,3388,30663
1,3389,31330
1,3390,30960
1,3391,27849
1,3392,25664
1,3393,30312
1,3394,30460
1,3395,31645
1,3396,31738
1,3397,28293
1,3398,21405
1,3399,30960
1,3400,30552
1,3401,30682
1,3402,30682
1,3403,28015
1,3404,28663
1,3405,25497
1,3406,26033
1,3407,31682
1,3408,30960
1,3409,28145
1,3410,64996
1,3411,30904
1,3412,32181
1,3413,32645
1,3414,36737
1,3415,26589
1,3416,28756
1,3417,30367
1,3418,35885
1,3419,30775
1,3420,36107
1,3421,26126
1,3422,30164
1,3423,26182
1,3424,29664
1,3425,25404
1,3426,29923
1,3427,26237
1,3428,26904
